customer_id,name,age,tenure_months,pay_cycle,base_income,credit_limit,city,signup_date,rent_amount,util_weekly
C000000,Thomas Neal,34,50,monthly,3815.28,7078.33,South Jimmy,2024-07-04,-1245.77,-110.71
C000001,Robin Bass,26,17,monthly,3851.84,5472.21,Laurenshire,2024-12-12,-1456.61,-81.14
C000002,Gary Hoffman,38,1,biweekly,3908.7,4740.44,Ashleyfurt,2023-08-12,-1402.52,-53.47
C000003,Karen Cox,56,53,monthly,2368.17,5491.8,Gonzalezberg,2023-12-10,-783.4,-43.96
C000004,Cindy Branch DVM,41,26,monthly,4823.65,7088.38,North Susanberg,2024-09-17,-1104.36,-34.79
C000005,Brett Morgan,23,17,monthly,4120.67,5794.8,Robinsonfort,2024-11-29,-819.57,-76.12
C000006,Edward Mcfarland,59,1,biweekly,1882.74,2309.29,Lake Tarafurt,2023-03-28,-431.74,-32.25
C000007,Nancy Riddle,38,28,monthly,4291.07,6549.29,Karenstad,2023-03-23,-1215.56,-86.74
C000008,Kelsey Conrad,45,59,monthly,5121.03,9095.23,Rodriguezside,2023-09-15,-2351.24,-39.06
C000009,Michael Jackson,35,54,monthly,4754.28,8405.13,Thomasbury,2023-03-12,-1436.26,-30.16
C000010,Lance Mata,26,15,monthly,5794.32,7703.18,Sarafort,2023-10-02,-2301.38,-52.27
C000011,Brenda Montes,28,29,monthly,4077.36,6342.84,Russoton,2024-10-30,-1237.85,-34.53
C000012,Susan Acevedo,40,1,biweekly,3968.57,4812.29,West Amberhaven,2024-04-29,-1451.82,-67.8
C000013,Gina Brown,36,1,monthly,3091.75,3760.1,Port Amytown,2024-09-24,-485.3,-26.49
C000014,Jason Davis,40,14,biweekly,4913.67,6596.4,Alvaradoland,2023-03-30,-2107.07,-19.03
C000015,Donald Clark,38,17,monthly,3607.34,5178.81,West Rebecca,2024-11-06,-1037.08,-28.53
C000016,Bianca Raymond,19,22,biweekly,2372.32,3946.79,East Davidmouth,2024-05-24,-960.19,-101.56
C000017,Christina Williams,38,50,biweekly,4091.31,7409.58,New Brettmouth,2023-10-09,-1709.71,-29.26
C000018,Jonathan Hudson,29,27,biweekly,2719.77,4613.73,Foxbury,2023-10-18,-874.56,-43.18
C000019,Christopher Pacheco,28,10,monthly,6297.09,8056.51,East Yvette,2023-03-12,-2055.48,-28.79
C000020,Brandon Griffith,30,29,biweekly,5357.04,7878.45,Suareztown,2024-10-11,-1482.91,-44.42
C000021,April Wilson,24,28,monthly,4451.67,6742.0,North Lindsayhaven,2023-05-10,-2019.14,-61.6
C000022,Stephanie Delgado,23,16,biweekly,3724.62,5269.54,Michaelborough,2023-10-12,-862.57,-23.05
C000023,Rebecca Wyatt,23,38,monthly,3441.28,6029.53,Wagnermouth,2024-12-13,-1102.05,-79.94
C000024,Matthew Reed,33,78,monthly,5329.18,10295.01,East Jenna,2023-10-06,-1577.27,-81.8
C000025,Monica Sims,31,36,monthly,5337.06,8204.47,North Melissa,2023-06-18,-1161.09,-44.06
C000026,Courtney White,27,34,monthly,3364.09,5736.91,Jobury,2023-06-22,-824.33,-36.05
C000027,Susan Knox,40,39,monthly,4430.77,7266.92,Port Thomastown,2024-08-14,-1160.41,-54.53
C000028,Amy Mcdaniel,59,18,biweekly,4508.79,6310.55,Edwardmouth,2023-10-02,-916.91,-63.04
C000029,David Ramirez,46,40,biweekly,4485.18,7382.22,Birdton,2024-01-16,-1376.94,-25.88
C000030,Nicole Vincent,53,7,biweekly,3416.76,4450.11,North Taylorside,2024-08-04,-1515.18,-58.33
C000031,Jessica Phillips,46,40,biweekly,4363.68,7236.42,Lake Erinland,2024-11-20,-1441.3,-19.84
C000032,Bryan Thompson,29,1,monthly,5624.34,6799.21,New Annafurt,2024-10-20,-2593.88,-70.2
C000033,Christopher Evans,44,57,monthly,6343.96,10462.75,Staceystad,2023-12-20,-1544.78,-54.96
C000034,Charles Williams,34,13,biweekly,4770.55,6374.66,Scottshire,2024-06-06,-1328.75,-51.89
C000035,Stanley Foster,31,17,monthly,4910.86,6743.03,Lake Angelica,2024-10-07,-1773.87,-65.1
C000036,Kelsey Sullivan,34,7,monthly,4222.0,5416.41,Lake Josemouth,2023-11-10,-1272.9,-44.59
